rank,author,profile_type,primary_platform,mentions,impact_score,impact_tier,x_twitter,github,linkedin,expertise,confidence,anysearch_status
1,Anthropic,organization/source,Anthropic Blog,10,135.0,S,https://x.com/AnthropicAI,https://github.com/anthropics,https://www.linkedin.com/company/anthropicresearch/,"tutorial_or_implementation, agent_discussion_resource, evaluation_benchmark, agent_framework",high,anysearch_ok
2,developers.openai.com,organization/source,OpenAI Blog,6,122.2,S,https://x.com/OpenAI?lang=en,https://github.com/openai/openai-agents-python,unknown,"tutorial_or_implementation, agent_framework",high,anysearch_ok
3,OpenAI,organization/source,OpenAI Blog,4,119.8,S,https://x.com/OpenAIDevs,https://github.com/openai,https://www.linkedin.com/company/openai/,"tutorial_or_implementation, agent_framework, self_evolving_agent",high,anysearch_ok
4,Product Hunt maker/team,organization/source,Product Hunt,24,110,S,https://x.com/ProductHunt,https://github.com/producthunt,https://www.linkedin.com/company/product-hunt/,"agent_workflow_automation, developer_framework, agent_product_or_directory, benchmark_or_competition, investor_market_resource",high,anysearch_ok
5,producthunt.com,organization/source,Product Hunt,15,108.0,A,https://x.com/ProductHunt,https://github.com/ibatulanandjp/product-hunt-launch-assistant,https://www.linkedin.com/in/aditya-santhanam/,"benchmark_or_competition, agent_workflow_automation, developer_framework, agent_product_or_directory, investor_market_resource",high,anysearch_ok
6,LangChain,organization/source,LangChain Blog,6,107.2,A,https://x.com/LangChainAI,https://github.com/langchain-ai,https://www.linkedin.com/company/langchain/,"tutorial_or_implementation, agent_framework",high,anysearch_ok
7,blog.langchain.com,organization/source,LangChain Blog,4,102.8,A,unknown,https://github.com/langchain-ai/langchain,unknown,"tutorial_or_implementation, agent_framework",high,anysearch_ok
8,anthropic.com,organization/source,Anthropic Blog,1,99.2,A,unknown,https://github.com/VoltAgent/awesome-agent-skills,unknown,agent_discussion_resource,low,anysearch_ok
9,openai.com,organization/source,OpenAI Blog,1,99.2,A,https://x.com/OpenAI?lang=en,https://github.com/openai/openai-agents-python,unknown,tutorial_or_implementation,low,anysearch_ok
10,youtube.com,creator/channel cohort,YouTube,55,98,A,unknown,https://github.com/maxxie114/Autonomous-Youtube-analysis-agent,unknown,"tutorial_or_implementation, self_evolving_agent, agent_discussion_resource, agent_framework",high,anysearch_ok
11,YouTube creator/channel,creator/channel cohort,YouTube,66,96,A,https://x.com/mehulmpt,https://github.com/darkzOGx/youtube-automation-agent,https://www.linkedin.com/in/mehulmpt,"tutorial_or_implementation, self_evolving_agent, agent_discussion_resource",high,anysearch_ok
12,腾讯云开发者作者,named author/source,Tencent Cloud Dev,10,96.0,A,https://x.com/tencentcloud,https://github.com/tencentcloud,unknown,"self_evolving_agent, agent_discussion_resource",high,anysearch_ok
13,阿里云开发者作者,named author/source,Alibaba Cloud Dev,7,91.4,A,unknown,https://github.com/aliyun,https://www.linkedin.com/posts/alexxubyte_systemdesign-coding-interviewtips-activity-7439698400759115776-df-D,"self_evolving_agent, agent_discussion_resource, tutorial_or_implementation",high,anysearch_ok
14,GitHub:EvoAgentX,GitHub owner/repo maintainer,GitHub Blog/Docs,3,90.6,A,unknown,https://github.com/EvoAgentX/EvoAgentX,https://www.linkedin.com/groups/14582302/,"self_evolving_agent, tutorial_or_implementation",high,anysearch_ok
15,Medium/TDS author,named author/source,Medium/TDS,12,90.4,A,unknown,https://github.com/langchain-ai/social-media-agent,https://www.linkedin.com/posts/markrawlingssmith_a-github-repo-ai-agents-went-viral-this-activity-7437762331943702529-5mzH,"self_evolving_agent, tutorial_or_implementation",high,anysearch_ok
16,GitHub:modelscope,GitHub owner/repo maintainer,GitHub Blog/Docs,3,88.6,A,unknown,https://github.com/langchain-ai/social-media-agent,unknown,self_evolving_agent,high,anysearch_ok
17,GitHub:datawhalechina,GitHub owner/repo maintainer,GitHub Blog/Docs,2,88.4,A,unknown,https://github.com/datawhalechina/Hello-Agents,unknown,"tutorial_or_implementation, self_evolving_agent",high,anysearch_ok
18,cloud.tencent.com,domain/source account,Tencent Cloud Dev,6,87.2,A,https://x.com/TencentCloud,https://github.com/TencentCloud,https://www.linkedin.com/company/tencent-cloud/,"self_evolving_agent, tutorial_or_implementation",high,anysearch_ok
19,GitHub:Marktechpost,GitHub owner/repo maintainer,GitHub Blog/Docs,1,84.2,B,unknown,https://github.com/Marktechpost/AI-Agents-Projects-Tutorials,unknown,self_evolving_agent,low,anysearch_ok
20,GitHub:autogame-17,GitHub owner/repo maintainer,GitHub Blog/Docs,1,84.2,B,unknown,https://github.com/autogame-17,https://www.linkedin.com/posts/markrawlingssmith_a-github-repo-ai-agents-went-viral-this-activity-7437762331943702529-5mzH,self_evolving_agent,low,anysearch_ok
21,GitHub:cittaverse,GitHub owner/repo maintainer,GitHub Blog/Docs,1,84.2,B,unknown,https://github.com/jim-schwoebel/awesome_ai_agents,unknown,self_evolving_agent,low,anysearch_ok
22,GitHub:evoagentx,GitHub owner/repo maintainer,GitHub Blog/Docs,1,84.2,B,unknown,https://github.com/EvoAgentX/EvoAgentX,https://www.linkedin.com/groups/14582302/,self_evolving_agent,low,anysearch_ok
23,GitHub:linkxzhou,GitHub owner/repo maintainer,GitHub Blog/Docs,1,84.2,B,unknown,https://github.com/langchain-ai/social-media-agent,https://www.linkedin.com/posts/paras-madan-a9863716b_top-6-open-source-agent-repos-from-tech-twitter-activity-7442186194299502592-NnFH,self_evolving_agent,low,anysearch_ok
24,GitHub:yh-yao,GitHub owner/repo maintainer,GitHub Blog/Docs,1,84.2,B,unknown,https://github.com/yh-yao,unknown,self_evolving_agent,low,anysearch_ok
25,GitHub:yinwm,GitHub owner/repo maintainer,GitHub Blog/Docs,1,84.2,B,unknown,https://github.com/langchain-ai/social-media-agent,https://www.linkedin.com/groups/14582302/,self_evolving_agent,low,anysearch_ok
26,GitHub:zhibao-labs,GitHub owner/repo maintainer,GitHub Blog/Docs,1,84.2,B,unknown,https://github.com/jim-schwoebel/awesome_ai_agents,unknown,self_evolving_agent,low,anysearch_ok
27,github.langchain.ac.cn,organization/source,LangChain Blog,1,84.2,B,unknown,https://github.com/langchain-ai/social-media-agent,unknown,tutorial_or_implementation,low,anysearch_ok
28,developer.aliyun.com,domain/source account,Alibaba Cloud Dev,5,83.0,B,https://x.com/alibaba_cloud,https://github.com/aliyun,https://www.linkedin.com/company/alibaba-cloud-computing-company/,self_evolving_agent,high,anysearch_ok
29,CSDN作者,named author/source,CSDN,15,82.0,B,unknown,https://github.com/langchain-ai/social-media-agent,https://www.linkedin.com/posts/alexeyf_just-built-an-ai-agent-that-creates-twitter-activity-7350784375019499520-gZWv,"self_evolving_agent, agent_discussion_resource",high,anysearch_ok
30,知乎作者,named author/source,Zhihu,13,77.6,B,unknown,https://github.com/zhihu,unknown,"self_evolving_agent, agent_discussion_resource",high,anysearch_ok
31,arxiv.org,domain/source account,arxiv.org,12,77.4,B,https://x.com/arxiv,https://github.com/arXiv,https://www.linkedin.com/posts/martinvechev_we-recently-released-a-paper-that-challenges-activity-7431980798796300288-Dv1c,"self_evolving_agent, agent_framework, tutorial_or_implementation",high,anysearch_ok
32,developer.cloud.tencent.com,domain/source account,Tencent Cloud Dev,2,76.4,B,https://x.com/tencentcloud?lang=en,https://github.com/tencentcloud,unknown,self_evolving_agent,high,anysearch_ok
