repo,url,stars,inferred_language,inferred_category,file_count_visible,key_files,content_timestamp,time_slice,file
01-ai/langcrew,https://github.com/01-ai/langcrew,114,Markdown,framework,13,Latest commit History16 Commits16 Commits; .github/workflows; docs; examples; libs; web; .dockerignore; .gitignore; .gitleaks.toml; .pre-commit-config.yaml; LICENSE; README.md; View all files,unknown,unknown,raw-github/01-ai_langcrew.md
0xsanei/darwinia,https://github.com/0xsanei/darwinia,102,Python,evolution,27,Latest commit History49 Commits49 Commits; .claude; .github; .openclaw; benchmarks; darwinia; dashboard; data; docs; examples; notebooks; scripts; tests; .env.example; .gitignore; AGENTS.md; CHANGELOG.md; CLAUDE.md; CONTRIBUTING.md; LICENSE,2026-05-21,2026-05,raw-github/0xsanei_darwinia.md
28naem-del/mnemosyne,https://github.com/28naem-del/mnemosyne,41,Markdown,memory,27,Latest commit History26 Commits26 Commits; .github; assets; docs; examples; src; tests; .env.example; .gitattributes; .gitignore; .npmignore; .prettierrc; ARCHITECTURE.md; CHANGELOG.md; CODE_OF_CONDUCT.md; COMPARISON.md; CONTRIBUTING.md; Dockerfile; LICENSE; README.md,unknown,unknown,raw-github/28naem-del_mnemosyne.md
a-evo-lab/a-evolve,https://github.com/a-evo-lab/a-evolve,549,Markdown,evolution,17,Latest commit History61 Commits61 Commits; .github/workflows; agent_evolve; artifacts; docs; examples; figs; seed_workspaces; tests; .gitignore; CLAUDE.md; DESIGN.md; Makefile; QUICKSTART.md; README.md; pyproject.toml; View all files,2026-05-21,2026-05,raw-github/a-evo-lab_a-evolve.md
aaronowh/ai-scientist-v2,https://github.com/aaronowh/ai-scientist-v2,0,Python,research-agent,10,Latest commit History58 Commits58 Commits; ai_scientist; docs; .gitignore; LICENSE; README.md; bfts_config.yaml; launch_scientist_bfts.py; requirements.txt; View all files,2024-05-13,2024-Q2,raw-github/aaronowh_ai-scientist-v2.md
abhisakh/ai-scientist-v2,https://github.com/abhisakh/ai-scientist-v2,0,Python,research-agent,10,Latest commit History55 Commits55 Commits; ai_scientist; docs; .gitignore; LICENSE; README.md; bfts_config.yaml; launch_scientist_bfts.py; requirements.txt; View all files,2024-05-13,2024-Q2,raw-github/abhisakh_ai-scientist-v2.md
adam-s/intercept,https://github.com/adam-s/intercept,127,TypeScript/JavaScript,evaluation,29,Latest commit History9 Commits9 Commits; .claude; .github/workflows; apps; docs/blog; domains/boardshop; packages; scripts; services/python; tests/e2e; .dockerignore; .env.example; .env.production.example; .gitignore; .npmrc; Caddyfile; LICENSE; README.md; biome.json; docker-compose.prod.yml,2026-05-21,2026-05,raw-github/adam-s_intercept.md
adiban17/ppo-ping-pong-agent-,https://github.com/adiban17/ppo-ping-pong-agent-,0,Python,evolution,10,Latest commit History3 Commits3 Commits; README.md; agent_training.ipynb; play.py; pong_Env.py; pong_champion_final.zip; pong_stage1.zip; pong_stage2.zip; pong_stage3.zip; View all files,unknown,unknown,raw-github/adiban17_ppo-ping-pong-agent-.md
agent-on-the-fly/memento,https://github.com/agent-on-the-fly/memento,2,Python,memory,16,Latest commit History79 Commits79 Commits; Figure; client; data; memory; searxng-docker; server; .env.example; .gitignore; .python-version; LICENSE; README.md; pyproject.toml; requirements.txt; uv.lock; View all files,unknown,unknown,raw-github/agent-on-the-fly_memento.md
agentic-in/elephant-agent,https://github.com/agentic-in/elephant-agent,361,Markdown,memory,22,Latest commit History47 Commits47 Commits; .github; apps; deploy; docs; packages; scripts; tests; tools; .editorconfig; .gitignore; .python-version; AGENTS.md; CHANGELOG.md; CONTRIBUTING.md; Makefile; README.md; install.sh; netlify.toml; pyproject.toml,2026-05-21,2026-05,raw-github/agentic-in_elephant-agent.md
