label,n,mean,median,std,min,max,p25,p75,iqr,skewness
evaluation,89,174.12,62,378.04,0,2900,5,144,139,4.8136
memory,88,4698.95,109.5,22599.95,0,202000,20.75,491.0,470.25,7.714
evolution,79,589.39,57,1946.88,0,12600,7.0,295.0,288.0,4.9052
skill,60,9442.67,192.5,31255.94,0,191000,21.75,1650.0,1628.25,4.5448
framework,50,7985.76,45.5,52852.65,0,374000,5.5,241.75,236.25,6.6393
education-list,35,188.57,81,256.87,1,1100,3.0,244.0,241.0,1.7392
research-agent,31,166.03,6,251.2,0,816,1.0,294.5,293.5,1.2482
prompt-optimization,26,88.12,23.0,170.72,0,805,3.25,82.25,79.0,2.9715
coding-agent,17,100.82,11,169.01,0,607,0,153,153,1.7809
workflow-automation,6,62.17,44.0,73.23,0,189,5.5,88.5,83.0,0.6439
safety,1,10.0,10,0,10,10,10,10,0,0
