name,platform,source_family,category,description,rank_or_metric,url,updated_or_launch_time,collected_at,search_rank,query,source_file,relevance_notes
"Genspark: Reinvent Search, the New AI Agent Engine | Product Hunt",Product Hunt,product_discovery,agent_product_or_directory,"Reinvent Search, the New AI Agent Engine An AI Agent engine where specialized AI agents perform research and generate custom pages called Sparkpages. Free from biases and SEO-driven content, Sparkpages synthesize trustworthy information, offering more valuable results and saving users time. genspark.aiApp Store GensparkInfo Launched in2024View2 launches Forum p/genspark This is the 2nd launch Genspark.View more ## Genspark Super Agent General AI agent built for your everyday task Genspark Super Agent was ranked #2 of the day for April 24th, 2025 Genspark Super Agent handles your everyday tasks, from making phone calls and generating slides to",PH day rank: 2,https://www.producthunt.com/products/genspark?launch=genspark,"April 24th, 2025",2026-05-20,1,"site:producthunt.com/products ""AI agent"" ""Launched""",producthunt.md,"Selected because source result explicitly references AI agents, agent workflows, benchmarks/leaderboards, self-evolution, or investor/news context for agentic products."
String.com launches,Product Hunt,product_discovery,agent_workflow_automation,"String.com ## String.com ## AI agent for building AI agents 5.0•2 reviews• 618 followers Visit website Automation tools•AI Coding Assistants Prompt, run, edit, and deploy AI agents in seconds. Overview Launches1 Reviews2 Team Awards More Blog • Newsletter • Questions • Forums • Product Categories • Apps • About • FAQ • Terms • Privacy and Cookies • X.com • Facebook • Instagram • LinkedIn • YouTube •* Advertise ©2025Product Hunt Follow String.comAdd to collectionShare Company Info string.com String.comInfo Launched in2025View1 launch Forum p/string-com SocialX # String.com launches Launch date String.com String.comAI agent for building AI agen",PH day rank: 2; followers: 618,https://www.producthunt.com/products/string-com/launches,"July 2nd, 2025",2026-05-20,2,"site:producthunt.com/products ""AI agent"" ""Launched""",producthunt.md,"Selected because source result explicitly references AI agents, agent workflows, benchmarks/leaderboards, self-evolution, or investor/news context for agentic products."
Suna AI General AI Agent,Product Hunt,product_discovery,developer_framework,"Suna AI General Suna AI Visit websiteFollow Overview Launches Forums Reviews Team More Blog• Newsletter• Questions• Forums• Product Categories• Apps• About• FAQ• Terms• Privacy and Cookies• X.com• Facebook• Instagram• LinkedIn• YouTube• * Advertise ©2025Product Hunt Product status Unclaimed What isSuna AI General AI Agent? Suna AI is an open-source, generalist artificial intelligence agent developed by Kortix, offering natural conversation-based workflows for task automation. Discover how it's changing the game in 2025. Suna AI General AI Agent? Suna AI General AI Agent gallery image Suna AI General AI Agent gallery image ## RecentSuna AI Gen",,https://www.producthunt.com/products/suna-ai-general-ai-agent,"April 24th, 2025",2026-05-20,3,"site:producthunt.com/products ""AI agent"" ""Launched""",producthunt.md,"Selected because source result explicitly references AI agents, agent workflows, benchmarks/leaderboards, self-evolution, or investor/news context for agentic products."
Skyvern: Open Source AI Agent to automate browser-based workflows | Product Hunt,Product Hunt,product_discovery,benchmark_or_competition,"Y Combinator Launched in2024View2 launches /skyvern ## SkyvernLaunches Skyvern 2.0 Skyvern 2.0Build AI browser agents in plain english Launched onFebruary 3rd, 2025 Skyvern 2.0 Skyvern 2.0 This is the 2nd launch from Skyvern.View more ## Skyvern 2.0 Build AI browser agents in plain english Skyvern 2.0 was ranked #3 of the day for February 3rd, 2025 Skyvern is an open source Browser Agent Builder. You can build complex browser agents in plain english. Skyvern scores a state-of-the-art 85.8% on the WebVoyager benchmark, enabling companies to build automations for job apps, contact form filling, and more. 🚀🚀🚀We're excited to launch Skyvern 2.0: ",PH day rank: 3,https://www.producthunt.com/products/skyvern?launch=skyvern-2-0,"February 3rd, 2025",2026-05-20,4,"site:producthunt.com/products ""AI agent"" ""Launched""",producthunt.md,"Selected because source result explicitly references AI agents, agent workflows, benchmarks/leaderboards, self-evolution, or investor/news context for agentic products."
Runner H launches,Product Hunt,product_discovery,agent_workflow_automation,"Runner H ## Runner H Launching today ## Delegate tasks to AI to automate multi-step tasks 241 followers Visit website Runner H is a state-of-the-art AI agent that will allow anyone to automate complex, boring, multi-step tasks without repetitive and manual input. From prompt to action in seconds. Free to test today ! Overview Team More Blog• Newsletter• Questions• Forums• Product Categories• Apps• About• FAQ• Terms• Privacy and Cookies• X.com• Facebook• Instagram• LinkedIn• YouTube• * Advertise ©2025Product Hunt Launching Today #8 Day Rank Upvote•163points Follow Runner HAdd to collectionShare Company Info runnerh.com Runner HInfo Launched in",PH current day rank: 8; PH points: 163; followers: 241,https://www.producthunt.com/products/runner-h-1st-ai-agent/launches,"June 4th, 2025",2026-05-20,5,"site:producthunt.com/products ""AI agent"" ""Launched""",producthunt.md,"Selected because source result explicitly references AI agents, agent workflows, benchmarks/leaderboards, self-evolution, or investor/news context for agentic products."
Thunai: Human-like AI agents with real-time voice & screen assist | Product Hunt,Product Hunt,product_discovery,investor_market_resource,"Thunai: Human-like AI agents with real-time voice & screen assist | Product Hunt Thunai # Thunai Launching today ## Human-like AI agents with real-time voice & screen assist 5.0•60 reviews• 840 followers Visit website Customer support tools•AI Chatbots•AI notetakers Thunai is an Agentic AI Platform with a self-learning brain that turns your org’s knowledge into smart agents—handling calls, chats, emails and tasks to automate support, sales and marketing. Deploy agents for ticketing, content, scheduling, lead gen and more. Overview Reviews60 Team Awards More Blog• Newsletter• Questions• Forums• Product Categories• Apps• About• FAQ• Terms• Priv",PH current day rank: 2; PH points: 336; followers: 840,https://www.producthunt.com/products/thunai,2025,2026-05-20,6,"site:producthunt.com/products ""AI agent"" ""Launched""",producthunt.md,"Selected because source result explicitly references AI agents, agent workflows, benchmarks/leaderboards, self-evolution, or investor/news context for agentic products."
Colab Agent,Product Hunt,product_discovery,agent_product_or_directory,"Colab Agent # Colab Agent ## Go from Data to Insights •0 reviews• 203 followers Visit websiteFollow Overview Launches Forums Reviews Team More Blog• Newsletter• • Forums• Product Categories• Apps• About• FAQ• Terms• Privacy and Cookies• X.com• Facebook• Instagram• LinkedIn• YouTube• ©2025 Product status Unclaimed -agent-in- Colab Agent Product Information and Latest Updates (2025) | Product Hunt ## What isColab Agent? Simplify data tasks with the new Data Science Agent, powered by Gemini, and generate functional notebooks, now available free in Google Colab. ### Do you use Colab Agent? I use thisI use something else Colab Agent gallery Colab ",followers: 203,https://www.producthunt.com/products/colab-agent,"March 6th, 2025",2026-05-20,7,"site:producthunt.com/products ""AI agent"" ""Launched""",producthunt.md,"Selected because source result explicitly references AI agents, agent workflows, benchmarks/leaderboards, self-evolution, or investor/news context for agentic products."
AgentNest.ai,Product Hunt,product_discovery,agent_workflow_automation,"AgentNest.ai: AI assistants for LinkedIn, email & meeting workflows | Product Hunt Sign in AgentNest.ai # AgentNest.ai Launched this week ## AI assistants for LinkedIn, email & meeting workflows 4 followers Visit website AgentNest is your personal AI assistant for LinkedIn, email, and calendar. It auto-replies to messages, runs outreach campaigns, follows up with leads, and even books meetings—saving you hours each week with no code or setup headaches. Overview Reviews Team More Blog• Newsletter• Questions• Forums• Product Categories• Apps• About• FAQ• Terms• Privacy and Cookies• X.com• Facebook• Instagram• LinkedIn• YouTube• Advertise ©2025P",PH points: 3; followers: 4,https://www.producthunt.com/products/agentnest-ai,2025,2026-05-20,8,"site:producthunt.com/products ""AI agent"" ""Launched""",producthunt.md,"Selected because source result explicitly references AI agents, agent workflows, benchmarks/leaderboards, self-evolution, or investor/news context for agentic products."
Vy by Vercept launches,Product Hunt,product_discovery,agent_workflow_automation,"Vy by Vercept Vy by Vercept ## Vy by Vercept ## AI agent that does tasks on your Mac 4.0•2 reviews• 145 followers Visit website Automation tools Vy is a native Mac app powered by combining our model's advanced interaction capabilities with frontier reasoning agents. It runs directly on your machine. It works with your actual software, on your screen. Overview Launches1 Reviews2 Team More Blog• Newsletter• Questions• Forums• Product Categories• Apps• About• FAQ• Terms• Privacy and Cookies• X.com• Facebook• Instagram• LinkedIn• YouTube• * Advertise ©2025Product Hunt Follow Vy by VerceptAdd to collectionShare Company Info vercept.com Vy by Verce",followers: 145,https://www.producthunt.com/products/vy-by-vercept/launches,"April 30th, 2025",2026-05-20,9,"site:producthunt.com/products ""AI agent"" ""Launched""",producthunt.md,"Selected because source result explicitly references AI agents, agent workflows, benchmarks/leaderboards, self-evolution, or investor/news context for agentic products."
Ebay Live: Bid for rare collectibles in live auctions | Product Hunt,Product Hunt,product_discovery,agent_product_or_directory,"Ebay LiveLaunches eBay AI Shopping Agent eBay AI Shopping AgentYour AI assistant for truly personal eBay shopping Launched onMay 11th, 2025 This is the 2nd launch from Ebay Live.View more ## eBay AI Shopping Agent Your AI assistant for truly personal eBay shopping Visit eBay's new AI Shopping Agent offers hyper-personalized product picks and guidance. Currently rolling out to U.S. users, it aims to make discovery on eBay effortless and tailored to your preferences. Artificial Intelligence•E-Commerce Zac Z 📌Hi everyone! eBay's now rolling out its own AI shopping agent. It’s designed to give you personalized product suggestions and expert guida",,https://www.producthunt.com/products/ebay-live?launch=ebay-ai-shopping-agent,"May 11th, 2025",2026-05-20,10,"site:producthunt.com/products ""AI agent"" ""Launched""",producthunt.md,"Selected because source result explicitly references AI agents, agent workflows, benchmarks/leaderboards, self-evolution, or investor/news context for agentic products."
