author,record_count,platforms,primary_categories,tier,website,role,representative_titles,representative_urls,time_slices,x_twitter,linkedin,github,external_verification_status
YouTube creator/channel,242,YouTube,"tutorial_or_implementation, self_evolving_agent, agent_discussion_resource, agent_framework",Tier 1,https://www.youtube.com,Video educator/creator,1. Build Your First Agentic AI Workflow in n8n (Step-by ... - YouTube ; AI Agent Memory: Building Self-Improving Agents - YouTube ; AgentK: Self-Evolving AI Agent Framework Can DO ... - YouTube ; Agentic AI Full Course 2026 | Simplilearn - YouTube ; Agentic AI With Autogen Crash Course Ft: @tech.mayankagg,https://www.youtube.com/watch?v=nRMKB3eVErI ; https://www.youtube.com/watch?v=QrYbHesIxpw ; https://www.youtube.com/watch?v=POGsJd2TQhk ; https://www.youtube.com/watch?v=2R-niMsB0QY ; https://www.youtube.com/watch?v=yDpV_jgO93c,"2026-05, 2026-04, 2025-02, 2025-01",pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
Medium/TDS author,78,Medium/TDS,"self_evolving_agent, agent_framework, tutorial_or_implementation, agent_discussion_resource",Tier 1,https://towardsdatascience.com,Technical blogger/practitioner,"A Comprehensive Guide to Collaborative AI Agents in Practice | Towards Data Science ; AGENTGEN framework : enhancing LLM based Agents planning abilities via Environment and Task Generation | by SACHIN KUMAR | Medium ; AI Agents from Scratch: Single Agents | Towards Data Science ; AI That Learns Like Humans: Agents That Grow Smarter Through Memory, Reflection, and Adaptation | by evoailabs | Medium ; Agent 0: How AI Can Evolve from “Nothing” to Expert Without Human Data | by evoailabs | Medium",https://towardsdatascience.com/a-comprehensive-guide-to-collaborative-ai-agents-in-practice-1f4048947d9c ; https://medium.com/@techsachin/agentgen-framework-enhancing-llm-based-agents-planning-abilities-via-environment-and-task-dc5b67c49896 ; https://towardsdatascience.com/ai-agents-from-zero-to-hero-part-1/ ; https://evoailabs.medium.com/ai-that-learns-like-humans-agents-that-grow-smarter-through-memory-reflection-and-adaptation-4691bf03f6f4 ; https://evoailabs.medium.com/agent-0-how-ai-can-evolve-from-nothing-to-expert-without-human-data-03da523e2bc3,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
Product Hunt maker/team,68,Product Hunt,"agent_workflow_automation, developer_framework, benchmark_or_competition, agent_product_or_directory, investor_market_resource",Tier 1,https://www.producthunt.com,Product launch team,AgentNest.ai ; AutoGPT - An Autonomous GPT-4 ; BabyAGI Product Information and Latest Updates (2025) | Product Hunt ; Colab Agent ; Convergence,https://www.producthunt.com/products/agentnest-ai ; https://www.producthunt.com/products/autogpt-an-autonomous-gpt-4 ; https://www.producthunt.com/products/babyagi ; https://www.producthunt.com/products/colab-agent ; https://www.producthunt.com/products/convergence-3,"2026-05, 2025-04, 2025-02, 2024-Q2, 2024-Q1",pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
知乎作者,60,Zhihu,"self_evolving_agent, agent_discussion_resource",Tier 1,https://zhuanlan.zhihu.com,中文技术/AI社区作者,AI Agent 入门指南（四）：Memory 记忆机制综述 - 知乎专栏 ; Agent 如何“在经验中成长”？深度探讨自进化的关键问题与技术路径 ; Agentic Reasoning for Large Language Models 综述：基础、进化与 ... ; Agent科普：（LLM）和智能体（Agent）的区别 - 知乎 ; AutoGLM的出现对agent的意义在什么地方？AI Agent到底有多强？ - 知乎,https://zhuanlan.zhihu.com/p/1995813479794353043 ; https://zhuanlan.zhihu.com/p/2002341680838378556 ; https://zhuanlan.zhihu.com/p/1998163875988776128 ; https://zhuanlan.zhihu.com/p/2235270209 ; https://www.zhihu.com/question/1941499767294244766/answer/1941532331904053875,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
CSDN作者,48,CSDN,"self_evolving_agent, agent_discussion_resource, tutorial_or_implementation",Tier 1,https://blog.csdn.net,中文开发者博客作者,2025年AI终极形态！自进化Agent深度综述：多模态融合+自主决策，企业落地避坑指南 ; 2026年Agent学习之路：GitHub上6大宝藏开源项目 ; AI Agent的演进之路：从静态模型到自进化数字生命体，全面综述！ ; AI 智能体开发工作流从哪些方面入手？ - CSDN博客 ; Agent-4 智能体设计模型-“自我进化”能力：反思模式全解析 - CSDN博客,https://blog.csdn.net/Python_cocola/article/details/150961251 ; https://adg.csdn.net/695338585b9f5f31781be4e5.html ; https://blog.csdn.net/2401_84495872/article/details/150441825 ; https://blog.csdn.net/shaobingj126/article/details/151903788 ; https://blog.csdn.net/qq_22337877/article/details/156833819,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
GitHub author/repository maintainers,40,GitHub Blog/Docs,"self_evolving_agent, tutorial_or_implementation, agent_discussion_resource",Tier 1,https://github.com,Open-source developer/repository maintainer,Baburnana/EvoMaster ; EvoAgentX/Awesome-Self-Evolving-Agents - GitHub ; EvoAgentX/EvoAgentX ; EvoAgentX/README-zh-TW.md at main - GitHub ; EvoAgentX/README-zh.md at main - GitHub,https://github.com/Baburnana/EvoMaster ; https://github.com/EvoAgentX/Awesome-Self-Evolving-Agents ; https://github.com/evoagentx/evoagentx ; https://github.com/EvoAgentX/EvoAgentX/blob/main/README-zh-TW.md ; https://github.com/EvoAgentX/EvoAgentX/blob/main/README-zh.md,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
腾讯云开发者作者,36,Tencent Cloud Dev,"self_evolving_agent, agent_discussion_resource, tutorial_or_implementation",Tier 1,https://cloud.tencent.com,云厂商/开发者社区作者,2025年AI智能体开发完全指南：10个GitHub顶级教程资源助你从入门 ... ; AI Agent 错误修正全流程：Self-Reflect、Critic、Tool Feedback 的协同机制-腾讯云开发者社区-腾讯云 ; Agent记忆模块：让大模型“记住”你，还能省Token！-腾讯云开发者社区-腾讯云 ; Reflexion：让AI智能体学会反思的神奇技术 - 腾讯云 ; 一篇自进化Agents技术最新综述：迈向人工超级智能 - 腾讯云开发者社区-腾讯云,https://cloud.tencent.com/developer/article/2557199 ; https://cloud.tencent.com/developer/article/2599386 ; https://developer.cloud.tencent.com/article/2640506 ; https://cloud.tencent.com/developer/article/2563429 ; https://developer.cloud.tencent.com/news/2831538,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
Substack author,32,Substack,"self_evolving_agent, tutorial_or_implementation, agent_discussion_resource",Tier 1,https://arxiviq.substack.com,Newsletter writer/analyst,"A Survey of Self-Evolving Agents: On Path to Artificial Super Intelligence ; AlphaEvolve: Google DeepMind’s Self-Improving Coding Agent ; Building A Self Evolving Agent - by Dan Raine ; Building Self-Improving LLM Agents: Paths Toward Lifelong Learning ; Creating Avi, The Agent That Evolved Itself - by Dan Raine",https://arxiviq.substack.com/p/a-survey-of-self-evolving-agents ; https://marcovcsiliconvalley.substack.com/p/alphaevolve-google-deepminds-self ; https://danraine.substack.com/p/building-a-self-evolving-agent ; https://vsanimator.substack.com/p/building-self-improving-llm-agents ; https://danraine.substack.com/p/creating-avi-the-agent-that-evolved,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
博客园作者,30,CNBlogs,"self_evolving_agent, agent_discussion_resource, evaluation_benchmark",Tier 1,https://www.cnblogs.com,中文技术博客作者,AI Agent 如何自我进化？Hermes Agent Self-Evolution 深度解析- iTech ; AI Agent系列-Google AI Agent学习-安全与治理：自主进化：持续学习、Agent Gym 与两个前沿案例 ; Anthropic 实战总结：AI Agent 的 3 种工作流模式，选错代价很大 - iTech - 博客园 ; Hermes Agent：自进化的 AI Agent - Wcowin - 博客园 ; LLM大模型中AI-Agent智能体应用开发相关知识介绍 - 博客园,https://www.cnblogs.com/itech/p/19867914 ; https://www.cnblogs.com/tianqing/p/19345789 ; https://www.cnblogs.com/itech/p/19897864 ; https://www.cnblogs.com/Wcowin/articles/19860617 ; https://www.cnblogs.com/jiujuan/p/19848128,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
36氪作者,26,36Kr,"self_evolving_agent, agent_discussion_resource",Tier 1,https://www.36kr.com,科技媒体作者,AI在线强化学习“边做边学”，斯坦福团队让7B小模型性能飙升，甚至超越GPT-4o-36氪 ; AI智能体（五）：工作流与智能体-36氪 ; Meta公布“超级智能”新进展：无需人类，软件Agent即可自我训练-36氪 ; Meta华人实习生搞出超级智能体，自己写代码实现自我进化-36氪 ; 「AI自进化」新进展：自主构建、优化Agent Skills-36氪,https://www.36kr.com/p/3523019724479368 ; https://m.36kr.com/p/3221398689401732 ; https://www.36kr.com/p/3612158628512771 ; https://36kr.com/p/3739404087771143 ; https://www.36kr.com/p/3728164375231362,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
