id,platform,name,author,influence_rating,confidence,needs_enrichment,category,time_slice,url
1,Product Hunt,"AgentCrew - Product Information, Latest Updates, and Reviews 2025 | Product Hunt",Product Hunt maker/team,product_team_or_maker,medium,True,agent_workflow_automation,2024-Q2,https://www.producthunt.com/products/agentcrew
2,Product Hunt,AgentGPT Product Information and Latest Updates (2025) | Product Hunt,Product Hunt maker/team,product_team_or_maker,medium,True,agent_product_or_directory,2026-05,https://www.producthunt.com/products/agentgpt
3,Product Hunt,AgentNest.ai,Product Hunt maker/team,product_team_or_maker,medium,True,agent_workflow_automation,2026-05,https://www.producthunt.com/products/agentnest-ai
4,Product Hunt,AiAgent.app,Product Hunt maker/team,product_team_or_maker,medium,True,agent_product_or_directory,2026-05,https://www.producthunt.com/products/autogpt-by-aiagent-app
5,Product Hunt,AutoGPT - An Autonomous GPT-4,Product Hunt maker/team,product_team_or_maker,medium,True,developer_framework,2026-05,https://www.producthunt.com/products/autogpt-an-autonomous-gpt-4
6,Product Hunt,BabyAGI Product Information and Latest Updates (2025) | Product Hunt,Product Hunt maker/team,product_team_or_maker,medium,True,benchmark_or_competition,2026-05,https://www.producthunt.com/products/babyagi
7,Product Hunt,Colab Agent,Product Hunt maker/team,product_team_or_maker,medium,True,agent_product_or_directory,2026-05,https://www.producthunt.com/products/colab-agent
8,Product Hunt,Convergence,Product Hunt maker/team,product_team_or_maker,medium,True,agent_workflow_automation,2026-05,https://www.producthunt.com/products/convergence-3
9,Product Hunt,Deep Lake - AI Knowledge Agent,Product Hunt maker/team,product_team_or_maker,medium,True,agent_product_or_directory,2026-05,https://www.producthunt.com/products/activeloop
10,Product Hunt,Ebay Live: Bid for rare collectibles in live auctions | Product Hunt,Product Hunt maker/team,product_team_or_maker,medium,True,agent_product_or_directory,2026-05,https://www.producthunt.com/products/ebay-live?launch=ebay-ai-shopping-agent
11,Product Hunt,GPT Researcher,Product Hunt maker/team,product_team_or_maker,medium,True,developer_framework,2026-05,https://www.producthunt.com/products/gpt-researcher
12,Product Hunt,"Genspark: Reinvent Search, the New AI Agent Engine | Product Hunt",Product Hunt maker/team,product_team_or_maker,medium,True,agent_product_or_directory,2025-04,https://www.producthunt.com/products/genspark?launch=genspark
13,Product Hunt,Graphiti: Build personalized AI agents that learn from dynamic data | Product Hunt,Product Hunt maker/team,product_team_or_maker,medium,True,developer_framework,2026-05,https://www.producthunt.com/products/graphiti?launch=graphiti
