dataset,current,target_or_claim,coverage_or_note,status
raw-papers timestamp index,196,100 target / Master said 88 currently,196.0%,gap: count discrepancy vs Master message
paper-reviews deep reviews,137,88 reviews,155.7%,meets/exceeds 88 target
academic-reviews supplemental,34,supporting reviews,supplemental,partly duplicate ids possible
raw-github repo README/code snapshots,525,348 repos,150.9%,complete snapshot; cross-analysis exists
repo techstack cross-analysis rows,364,348 repos,104.6%,complete snapshot
raw-blogs files,1308,1306 files mentioned by Master,100.2%,files are json+md pairs; item records below
raw-blogs JSON item records,652,1306 blog claim requires clarification,652 json records if paired files,author_profile present but needs enrichment
raw-social files,1318,300+ full posts / earlier 131,file count includes md+json pairs,needs full-text status audit
raw-social JSON item records,613,300+ posts,204.3%,above 300 json records; quality varies
Mom Test pain points,97,97 pain points,100.0%,detailed platform files parse to 97
