arxiv_id,title,method_category,content_timestamp,time_slice,file
2203.14465,Computer Science > Machine Learning,reward/RL/self-play,2022-03-01,2022-03,raw-papers/2203-14465.md
2203.14465,STaR: Bootstrapping Reasoning With Reasoning,reward/RL/self-play,2022-03-01,2022-03,raw-papers/2203.14465.md
2303.11366,Computer Science > Artificial Intelligence,prompt/search optimization,2023-03-01,2023-03,raw-papers/2303-11366.md
2303.17651,Computer Science > Computation and Language,prompt/search optimization,2023-03-01,2023-03,raw-papers/2303-17651.md
2303.11366,Reflexion: Language Agents with Verbal Reinforcement Learning,reward/RL/self-play,2023-03-01,2023-03,raw-papers/2303.11366.md
2303.17651,Self-Refine: Iterative Refinement with Self-Feedback,multi-agent reflection/debate,2023-03-01,2023-03,raw-papers/2303.17651.md
2304.03442,Computer Science > Human-Computer Interaction,prompt/search optimization,2023-04-01,2023-04,raw-papers/2304-03442.md
2304.03442,Generative Agents: Interactive Simulacra of Human Behavior,web/tool/environment adaptation,2023-04-01,2023-04,raw-papers/2304.03442.md
2305.14325,Computer Science > Computation and Language,prompt/search optimization,2023-05-23,2023-05,raw-papers/2305-14325.md
2305.16291,Computer Science > Artificial Intelligence,prompt/search optimization,2023-05-01,2023-05,raw-papers/2305-16291.md
2305.14325,Improving Factuality and Reasoning in Language Models through Multiagent Debate,reward/RL/self-play,2023-05-01,2023-05,raw-papers/2305.14325.md
2305.16291,Voyager: An Open-Ended Embodied Agent with Large Language Models,web/tool/environment adaptation,2023-05-01,2023-05,raw-papers/2305.16291.md
2308.10144,Computer Science > Machine Learning,prompt/search optimization,2023-08-01,2023-08,raw-papers/2308-10144.md
2308.10144,ExpeL: LLM Agents Are Experiential Learners,reward/RL/self-play,2023-08-01,2023-08,raw-papers/2308.10144.md
2311.09336,Computer Science > Computation and Language,prompt/search optimization,2023-11-01,2023-11,raw-papers/2311-09336.md
2311.09336,LLMRefine: Pinpointing and Refining Large Language Models via Fine-Grained Actionable Feedback,prompt/search optimization,2023-11-01,2023-11,raw-papers/2311.09336.md
2312.09390,Computer Science > Computation and Language,prompt/search optimization,2023-12-14,2023-12,raw-papers/2312-09390.md
2312.09390,Weak-to-Strong Generalization: Eliciting Strong Capabilities With Weak Supervision,reward/RL/self-play,2023-12-01,2023-12,raw-papers/2312.09390.md
2401.01335,Computer Science > Machine Learning,prompt/search optimization,2024-01-01,2024-01,raw-papers/2401-01335.md
2401.10020,Computer Science > Computation and Language,prompt/search optimization,2024-01-01,2024-01,raw-papers/2401-10020.md
2401.13996,Computer Science > Computation and Language,prompt/search optimization,2024-01-25,2024-01,raw-papers/2401-13996.md
2401.01335,Self-Play Fine-Tuning Converts Weak Language Models to Strong Language Models,reward/RL/self-play,2024-01-01,2024-01,raw-papers/2401.01335.md
2401.10020,Self-Rewarding Language Models,reward/RL/self-play,2024-01-01,2024-01,raw-papers/2401.10020.md
2401.10510,When Large Language Models Meet Evolutionary Algorithms: Potential Enhancements and Challenges,reward/RL/self-play,2024-01-19,2024-01,raw-papers/2401.10510.md
