repo,url,new_category,verified_category,stack_tags,github_status,github_readme_url,github_error,verified_evidence,anysearch_status,anysearch_urls,anysearch_excerpt
agi-edgerunners/llm-agents-papers,https://github.com/agi-edgerunners/llm-agents-papers,教程/tutorial,教程/tutorial,-,error,,HTTP Error 403: rate limit exceeded,GitHub README fetch failed; keep local classification,quota_exhausted,,user_daily_quota_exhausted 已达到今日免费额度上限，明日再试。 You have reached today's free quota limit. Please try again tomorrow. quota_used: 454 quota_limit: 0
ashish-kamboj/agentic-ai-workflows,https://github.com/ashish-kamboj/agentic-ai-workflows,应用/application,应用/application,Markdown; CrewAI; RAG/GraphRAG,error,,HTTP Error 403: rate limit exceeded,GitHub README fetch failed; keep local classification,quota_exhausted,,user_daily_quota_exhausted 已达到今日免费额度上限，明日再试。 You have reached today's free quota limit. Please try again tomorrow. quota_used: 454 quota_limit: 0
browser-use/browser-use,https://github.com/browser-use/browser-use,应用/application,应用/application,Markdown; Docker; Browser; Agent skills,error,,HTTP Error 403: rate limit exceeded,GitHub README fetch failed; keep local classification,quota_exhausted,,user_daily_quota_exhausted 已达到今日免费额度上限，明日再试。 You have reached today's free quota limit. Please try again tomorrow. quota_used: 454 quota_limit: 0
browser-use/web-ui,https://github.com/browser-use/web-ui,应用/application,应用/application,Python; OpenAI; Anthropic; Docker; Browser,error,,HTTP Error 403: rate limit exceeded,GitHub README fetch failed; keep local classification,quota_exhausted,,user_daily_quota_exhausted 已达到今日免费额度上限，明日再试。 You have reached today's free quota limit. Please try again tomorrow. quota_used: 454 quota_limit: 0
chuacheowhuan/gym-continuousdoubleauction,https://github.com/chuacheowhuan/gym-continuousdoubleauction,应用/application,应用/application,Python; Docker; RL/self-play,error,,HTTP Error 403: rate limit exceeded,GitHub README fetch failed; keep local classification,quota_exhausted,,user_daily_quota_exhausted 已达到今日免费额度上限，明日再试。 You have reached today's free quota limit. Please try again tomorrow. quota_used: 454 quota_limit: 0
colab2/midca,https://github.com/colab2/midca,应用/application,应用/application,Markdown,error,,HTTP Error 403: rate limit exceeded,GitHub README fetch failed; keep local classification,quota_exhausted,,user_daily_quota_exhausted 已达到今日免费额度上限，明日再试。 You have reached today's free quota limit. Please try again tomorrow. quota_used: 454 quota_limit: 0
george-salafatinos/tictactoe-self-play,https://github.com/george-salafatinos/tictactoe-self-play,应用/application,应用/application,Python; SWE/coding; Browser; RL/self-play,error,,HTTP Error 403: rate limit exceeded,GitHub README fetch failed; keep local classification,quota_exhausted,,user_daily_quota_exhausted 已达到今日免费额度上限，明日再试。 You have reached today's free quota limit. Please try again tomorrow. quota_used: 454 quota_limit: 0
haotang1995/worldcoder,https://github.com/haotang1995/worldcoder,应用/application,应用/application,Python,error,,HTTP Error 403: rate limit exceeded,GitHub README fetch failed; keep local classification,quota_exhausted,,user_daily_quota_exhausted 已达到今日免费额度上限，明日再试。 You have reached today's free quota limit. Please try again tomorrow. quota_used: 454 quota_limit: 0
ilsilfverskiold/awesome-llm-resources-list,https://github.com/ilsilfverskiold/awesome-llm-resources-list,教程/tutorial,教程/tutorial,-,error,,HTTP Error 403: rate limit exceeded,GitHub README fetch failed; keep local classification,quota_exhausted,,user_daily_quota_exhausted 已达到今日免费额度上限，明日再试。 You have reached today's free quota limit. Please try again tomorrow. quota_used: 454 quota_limit: 0
leofan90/awesome-world-models,https://github.com/leofan90/awesome-world-models,教程/tutorial,教程/tutorial,-,error,,HTTP Error 403: rate limit exceeded,GitHub README fetch failed; keep local classification,quota_exhausted,,user_daily_quota_exhausted 已达到今日免费额度上限，明日再试。 You have reached today's free quota limit. Please try again tomorrow. quota_used: 454 quota_limit: 0
machuangtao/llm-kg4qa,https://github.com/machuangtao/llm-kg4qa,应用/application,应用/application,Markdown; SWE/coding,error,,HTTP Error 403: rate limit exceeded,GitHub README fetch failed; keep local classification,quota_exhausted,,user_daily_quota_exhausted 已达到今日免费额度上限，明日再试。 You have reached today's free quota limit. Please try again tomorrow. quota_used: 454 quota_limit: 0
mb-mal/awesome-ai-agents-frameworks,https://github.com/mb-mal/awesome-ai-agents-frameworks,教程/tutorial,教程/tutorial,-,error,,HTTP Error 403: rate limit exceeded,GitHub README fetch failed; keep local classification,quota_exhausted,,user_daily_quota_exhausted 已达到今日免费额度上限，明日再试。 You have reached today's free quota limit. Please try again tomorrow. quota_used: 454 quota_limit: 0
mdalamin5/end-to-end-agentic-ai-automation-lab,https://github.com/mdalamin5/end-to-end-agentic-ai-automation-lab,应用/application,应用/application,Python; MCP; LangChain; LangGraph; CrewAI; Docker; RAG/GraphRAG; Memory,error,,HTTP Error 403: rate limit exceeded,GitHub README fetch failed; keep local classification,quota_exhausted,,user_daily_quota_exhausted 已达到今日免费额度上限，明日再试。 You have reached today's free quota limit. Please try again tomorrow. quota_used: 454 quota_limit: 0
n8n-io/n8n,https://github.com/n8n-io/n8n,应用/application,应用/application,Markdown; Docker,error,,HTTP Error 403: rate limit exceeded,GitHub README fetch failed; keep local classification,quota_exhausted,,user_daily_quota_exhausted 已达到今日免费额度上限，明日再试。 You have reached today's free quota limit. Please try again tomorrow. quota_used: 454 quota_limit: 0
rishab-agrawal/humanoid-curriculum-rl,https://github.com/rishab-agrawal/humanoid-curriculum-rl,应用/application,应用/application,Python; RL/self-play,error,,HTTP Error 403: rate limit exceeded,GitHub README fetch failed; keep local classification,quota_exhausted,,user_daily_quota_exhausted 已达到今日免费额度上限，明日再试。 You have reached today's free quota limit. Please try again tomorrow. quota_used: 454 quota_limit: 0
ronit26mehta/argus-ai-debate,https://github.com/ronit26mehta/argus-ai-debate,评测/evaluation,评测/evaluation,-; Evaluation; Evolutionary search,error,,HTTP Error 403: rate limit exceeded,GitHub README fetch failed; keep local classification,quota_exhausted,,user_daily_quota_exhausted 已达到今日免费额度上限，明日再试。 You have reached today's free quota limit. Please try again tomorrow. quota_used: 454 quota_limit: 0
smiles724/awesome-llm-rlvr,https://github.com/smiles724/awesome-llm-rlvr,教程/tutorial,教程/tutorial,-,error,,HTTP Error 403: rate limit exceeded,GitHub README fetch failed; keep local classification,quota_exhausted,,user_daily_quota_exhausted 已达到今日免费额度上限，明日再试。 You have reached today's free quota limit. Please try again tomorrow. quota_used: 454 quota_limit: 0
vercel/workflow,https://github.com/vercel/workflow,应用/application,应用/application,Markdown; Agent skills,error,,HTTP Error 403: rate limit exceeded,GitHub README fetch failed; keep local classification,quota_exhausted,,user_daily_quota_exhausted 已达到今日免费额度上限，明日再试。 You have reached today's free quota limit. Please try again tomorrow. quota_used: 454 quota_limit: 0
vision-intelligence-and-robots-group/best-incremental-learning,https://github.com/vision-intelligence-and-robots-group/best-incremental-learning,应用/application,应用/application,-,error,,HTTP Error 403: rate limit exceeded,GitHub README fetch failed; keep local classification,quota_exhausted,,user_daily_quota_exhausted 已达到今日免费额度上限，明日再试。 You have reached today's free quota limit. Please try again tomorrow. quota_used: 454 quota_limit: 0
voltagent/awesome-agent-skills,https://github.com/voltagent/awesome-agent-skills,教程/tutorial,教程/tutorial,-; Agent skills,error,,HTTP Error 403: rate limit exceeded,GitHub README fetch failed; keep local classification,quota_exhausted,,user_daily_quota_exhausted 已达到今日免费额度上限，明日再试。 You have reached today's free quota limit. Please try again tomorrow. quota_used: 454 quota_limit: 0
xialeiliu/awesome-incremental-learning,https://github.com/xialeiliu/awesome-incremental-learning,教程/tutorial,教程/tutorial,-,error,,HTTP Error 403: rate limit exceeded,GitHub README fetch failed; keep local classification,quota_exhausted,,user_daily_quota_exhausted 已达到今日免费额度上限，明日再试。 You have reached today's free quota limit. Please try again tomorrow. quota_used: 454 quota_limit: 0
xiaofangxd/llm_ea,https://github.com/xiaofangxd/llm_ea,论文代码/paper-code,论文代码/paper-code,-; Evolutionary search,error,,HTTP Error 403: rate limit exceeded,GitHub README fetch failed; keep local classification,quota_exhausted,,user_daily_quota_exhausted 已达到今日免费额度上限，明日再试。 You have reached today's free quota limit. Please try again tomorrow. quota_used: 454 quota_limit: 0
yennning/awesome-code-as-agent-harness-papers,https://github.com/yennning/awesome-code-as-agent-harness-papers,教程/tutorial,教程/tutorial,-,error,,HTTP Error 403: rate limit exceeded,GitHub README fetch failed; keep local classification,quota_exhausted,,user_daily_quota_exhausted 已达到今日免费额度上限，明日再试。 You have reached today's free quota limit. Please try again tomorrow. quota_used: 454 quota_limit: 0
yingchengyang/reinforcement-learning-papers,https://github.com/yingchengyang/reinforcement-learning-papers,教程/tutorial,教程/tutorial,-; RL/self-play,error,,HTTP Error 403: rate limit exceeded,GitHub README fetch failed; keep local classification,quota_exhausted,,user_daily_quota_exhausted 已达到今日免费额度上限，明日再试。 You have reached today's free quota limit. Please try again tomorrow. quota_used: 454 quota_limit: 0
zijian-ni/awesome-ai-agents-2026,https://github.com/zijian-ni/awesome-ai-agents-2026,教程/tutorial,教程/tutorial,-,error,,HTTP Error 403: rate limit exceeded,GitHub README fetch failed; keep local classification,quota_exhausted,,user_daily_quota_exhausted 已达到今日免费额度上限，明日再试。 You have reached today's free quota limit. Please try again tomorrow. quota_used: 454 quota_limit: 0
zzz47zzz/awesome-lifelong-learning-methods-for-llm,https://github.com/zzz47zzz/awesome-lifelong-learning-methods-for-llm,教程/tutorial,教程/tutorial,-,error,,HTTP Error 403: rate limit exceeded,GitHub README fetch failed; keep local classification,quota_exhausted,,user_daily_quota_exhausted 已达到今日免费额度上限，明日再试。 You have reached today's free quota limit. Please try again tomorrow. quota_used: 454 quota_limit: 0
